file,label
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00403082008145510_20250620191042_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00403082008145519_20250620191317_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00403152008150116_20250620211308_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00404122003145553_20250308145600_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00404122003145602_20250308145051_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00404212003144939_20250308192344_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00404212018145615_20250826195902_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00404212018145623_20250826200305_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405022023143159_20250927152529_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405022023143208_20250927152401_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405032014150146_20250727213331_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405062015150202_20250806030852_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405062017144313_20250821044952_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405072003144929_20250309105559_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405122014145557_20250728004158_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405192014150205_20250728044838_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00405232004150132_20250327114514_SKT.tif,not_in_scene
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406022015144356_20250806202753_SKT.tif,partial_cloud
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406022024001307_20251004233352_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406032022144419_20250921101746_SKT.tif,not_in_scene
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406032022144428_20250921100632_SKT.tif,not_in_scene
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406032024141744_20251005001752_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406042014150210_20250728093443_SKT.tif,not_in_scene
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406052009005326_20250628024209_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406052014004111_20250728111317_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406062009150210_20250628034142_SKT.tif,not_in_scene
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406072021145905_20250915162758_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406082010005248_20250704115350_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406082016005338_20250812120907_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406082018145646_20250827161026_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406082018145654_20250827161209_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406092016150225_20250812130345_SKT.tif,not_in_scene
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406092022004137_20250921081557_SKT.tif,partial_cloud
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406112010144921_20250704133728_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406112016145012_20250812140444_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406172016004730_20250812165920_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406172019005253_20250903161326_SKT.tif,clear
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406182010145523_20250704170706_SKT.tif,not_in_scene
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406182010145532_20250704164919_SKT.tif,cloudy
C:\Users\Lenovo\Documents\GEUS_internship\LWST_estimation_project\ASTER08_LSWT\data\AST_08_00406182019150138_20250903165053_SKT.tif,clear
