lake_id,system:time_start,date,system:index,ST,ST_max,ST_min,ST_stddev,ST_count,QA_PIXEL
6,1.650291919392E12,2022-04-18,1_1_1_1_LC09_003016_20220418,0.20761826304197825,[3.472096217839976],[-0.7704869269599612],[1.030841064282252],[124],29983.02137943856
6,1.651674314267E12,2022-05-04,1_1_1_1_LC09_003016_20220504,-0.5907202408200766,[3.469341293720049],[-1.0928130489999717],[0.6269478883836485],[697],30048.0
6,1.653056701819E12,2022-05-20,1_1_1_1_LC09_003016_20220520,3.130350636307467,[8.728491438800006],[2.450019369320046],[1.087073474941804],[479],29965.99575759553
6,1.679322338384E12,2023-03-20,1_1_1_1_LC09_003016_20230320,-2.6441976199511035,[-2.3710978406799654],[-2.8532095616799893],[0.101565650547365],[23],25963.03196347032
6,1.680704728213E12,2023-04-05,1_1_1_1_LC09_003016_20230405,,[null],[null],[null],[0],
6,1.68208712205E12,2023-04-21,1_1_1_1_LC09_003016_20230421,-9.71889434873281,[-8.401626739359983],[-10.016012273679962],[0.31375330964909204],[345],63058.998121520584
6,1.715264707518E12,2024-05-09,1_1_1_1_LC09_003016_20240509,2.3738534575795853,[6.8165740995200395],[1.9183190141600335],[0.5583144623755002],[521],23243.541188393818
6,1.748442298875E12,2025-05-28,1_1_1_1_LC09_003016_20250528,3.5298789949053853,[6.516287370440011],[2.1855466538000314],[0.6291242212985224],[574],23785.965158028837
6,1.777472713603E12,2026-04-29,1_1_1_1_LC09_003016_20260429,-15.48960399495672,[-13.31090152119998],[-16.972195676679974],[0.7433643340810733],[941],63048.95118305624
6,1.650291943258E12,2022-04-18,1_1_1_1_LC09_003017_20220418,0.14330712531829565,[3.3977132666000216],[-0.7704869269599612],[1.008205439867579],[122],29980.461573280743
6,1.651674338133E12,2022-05-04,1_1_1_1_LC09_003017_20220504,-0.5939805041373156,[3.697999995679993],[-1.090058124879988],[0.6512275171802578],[698],30048.0
6,1.711117562836E12,2024-03-22,1_1_1_1_LC09_003017_20240322,-6.3628326955309396,[-4.968991285839991],[-10.115189541999996],[0.6178642874506014],[1035],29875.526358130584
6,1.715264731388E12,2024-05-09,1_1_1_1_LC09_003017_20240509,2.363334656952482,[6.609954790520021],[1.915564090039993],[0.5388395460972752],[519],22889.204353704503
6,1.646749903885E12,2022-03-08,1_1_1_1_LC09_004016_20220308,-14.927343470140109,[-10.550467552960015],[-19.586618666559957],[1.809329033745267],[64236],55336.92187297718
6,1.648132299948E12,2022-03-24,1_1_1_1_LC09_004016_20220324,-10.699615808510499,[-6.87264385275995],[-17.63337746547998],[1.4288246219217868],[78507],61942.114518658826
6,1.649514696628E12,2022-04-09,1_1_1_1_LC09_004016_20220409,-2.6414749788284126,[1.8935246970800108],[-9.737764937559973],[0.9136664028093742],[78507],29939.05698575334
6,1.650897087526E12,2022-04-25,1_1_1_1_LC09_004016_20220425,0.3240408042056515,[2.436244748720071],[-3.0102402365199623],[0.6326091031227666],[78507],30000.765830184326
